Serial No,Age,Name,Gender,Address,Branch,City ,State,Phone No,ID Type,ID No,ID Issue Date,Employment Status,Job Title,Monthly Income,Annual Income,Account Type,Account Opening Year and Date,Account Number,IFSC Code,Initial Deposit Amount,Application Status,FD Account Number,FD Type ,FD Amount,Deposit Date,Tenure,Interest Rate,Interest Payout Frequency,Linked Account Type ,Loan Type ,Loan Amount Requested,Loan Term,Interest Rate Type,Interest Rate Offered,Loan Start Date,Loan End Date,Credit Score,Loan Application Number,Loan Application Status,Repayment Method,Collateral Type
13,35,Rohini Aadmuthe,F,Walchand College,VishramBag,Sangli,Maharashtra,6956541223,Aadhar Card,568904005654,2016-12-24,Self-Employed,Mechanical,25000,600000,Savings,2017-06-25,90786345,ABVI2791,2000,Approved,45612312,Regular FD,220000,2023-03-12,30,9,Monthly,Savings,Bike,300000,36,Fixed,10,2020-04-07,2023-04-07,670,99556639,Approved,Auto Debit,Bike
14,62,Suresh Kamble,M,Police Line,VishramBag,Sangli,Maharashtra,9561038603,Aadhar Card,568904005655,2015-03-04,Retired,,,,Current,2020-02-01,59073184,ABVI2791,10000,Approved,45612313,Senior Citizen FD,400000,2022-06-18,60,11,Monthly,Savings,,,,,,,,,,,,
15,59,Parshuram Patil,M,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,9089724400,Aadhar Card,568904005656,2019-01-14,Employed,Pharmacy,29000,548000,Current,2016-09-09,49783047,ABVI2791,5000,Rejected,45612314,Regular FD,380000,2017-10-30,12,9,Monthly,Savings,Car,250000,36,Fixed,10,2020-01-22,2023-01-22,660,98735614,Approved,Cash,Car
16,44,Parikshit Deshpande,M,Police Line,VishramBag,Sangli,Maharashtra,6489569867,Aadhar Card,568904005657,2018-11-01,Employed,Doctor,45000,540000,Current,2015-12-19,89354489,ABVI2791,3000,Approved,,,,,,,,,Gold,400000,24,Fixed,11,2016-09-14,2018-09-14,590,99556642,Pending,Cash,Gold
17,50,Kartik Tiwari,M,Kranti Bhel Corner,VishramBag,Sangli,Maharashtra,7971560029,Aadhar Card,568904005658,2014-03-08,Employed,Mechanical,23000,623000,Savings,2014-12-08,79543206,ABVI2791,4000,Approved,45612316,Regular FD,500000,2020-01-01,6,9,Monthly,Savings,Business,1900000,60,Fixed,12,2016-01-29,2021-01-29,800,98735602,Approved,Auto Debit,Stock
18,30,Mala Tiwari,F,China Hut Corner,VishramBag,Sangli,Maharashtra,5458765354,Aadhar Card,568904005659,2017-08-27,Employed,Software,70000,840000,Savings,2017-11-11,93056190,ABVI2791,10000,Approved,,,,,,,,,Agricultural,390000,36,Fixed,10,2018-02-13,2021-02-13,610,99556646,Approved,Check,Land
19,33,Sandhya Kumar,F,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,9861257489,Aadhar Card,568904005660,2014-07-16,Employed,Doctor,31000,584530,Savings,2016-04-05,89504807,ABVI2791,7000,Pending,45612318,Regular FD,900000,2017-09-04,17,9,Monthly,Current,Business,1100000,60,Fixed,12,2021-02-18,2026-02-18,665,99556636,Approved,Auto Debit,Stock
20,67,Sunita Chougule,F,Dandekar Hall,VishramBag,Sangli,Maharashtra,7865483200,Aadhar Card,568904005661,2018-12-19,Retired,,,,Savings,2019-01-04,90591290,ABVI2791,9000,Approved,45612319,Senior Citizen FD,500000,2020-04-28,60,11,Monthly,Savings,,,,,,,,,,,,
21,28,Akashta Thosar,F,100 Ft Road,VishramBag,Sangli,Maharashtra,9835016330,Aadhar Card,568904005662,2016-08-13,Employed,Real Estate,27000,694850,Savings,2014-05-05,12345601,ABVI2791,3000,Approved,99556618,Regular FD,200000,2022-12-07,12,9,Monthly,Savings,Car,610000,36,Fixed,10,2014-09-27,2017-09-27,750,98735619,Approved,Auto Debit,Car
22,66,Nikita Kamble,F,Diamond Hotel,VishramBag,Sangli,Maharashtra,7948555571,Aadhar Card,568904005663,2015-07-12,Retired,,,,Savings,2018-07-31,99556603,ABVI2791,10000,Approved,99556613,Senior Citizen FD,375430,2021-11-01,24,11,Monthly,Savings,,,,,,,,,,,,
23,25,Ketan Yadav,M,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,5689646582,Aadhar Card,568904005664,2016-11-20,Employed,Farmer,30000,465000,Current,2014-05-30,12345611,ABVI2791,50000,Approved,99556611,Regular FD,250000,2021-01-20,10,9,Monthly,Savings,Home,2500000,120,Fixed,10,2014-06-26,2024-06-26,740,99556630,Pending,Cash,Plot
24,50,Priya Kakade,F,Police Line,VishramBag,Sangli,Maharashtra,1234567874,Aadhar Card,568904005665,2016-01-02,Employed,Accountant,40000,490000,Savings,2016-06-06,12348612,ABVI2791,8000,Approved,,,,,,,,,Gold,300000,24,Fixed,11,2017-03-19,2019-03-19,650,98735603,Pending,Auto Debit,Gold
25,27,Yogesh Patil,M,China Hut Corner,VishramBag,Sangli,Maharashtra,5986884104,Aadhar Card,568904005666,2014-04-23,Self- Employed,Real Estate,55553,666639,Current,2014-12-12,68073113,ABVI2791,9000,Approved,99556610,Regular FD,300000,2019-03-11,29,9,Monthly,Current,Bike,130000,36,Fixed,10,2015-03-04,2018-03-04,680,99556638,Approved,Check,Bike
26,35,Nikhil Jadhav,M,Kranti Bhel Corner,VishramBag,Sangli,Maharashtra,7893498556,Aadhar Card,568904005667,2014-09-05,Employed,Civil,50000,600040,Savings,2016-08-18,44893314,ABVI2791,5000,Approved,99556617,Regular FD,100000,2020-05-26,48,9,Monthly,Savings,Agricultural,200000,36,Fixed,10,2017-11-20,2020-11-20,600,99556644,Pending,Check,Land
27,33,Devika Birnale,F,100 Ft Road,VishramBag,Sangli,Maharashtra,9735685588,Aadhar Card,568904005668,2015-07-28,Employed,Farmer,40000,498500,Savings,2020-01-15,23791215,ABVI2791,4000,Approved,,,,,,,,,Car,500000,60,Fixed,10,2020-06-03,2025-06-03,735,99556652,Approved,Cash,Car
28,70,Devraj Patil,M,China Hut Corner,VishramBag,Sangli,Maharashtra,6468895449,Aadhar Card,568904005669,2016-12-10,Retired,,,,Savings,2019-10-21,73148716,ABVI2791,5000,Approved,99556616,Senior Citizen FD,450300,2020-09-18,60,11,Monthly,Savings,,,,,,,,,,,,
29,23,Sharique Shaikh,M,Diamond Hotel,VishramBag,Sangli,Maharashtra,9658965499,Aadhar Card,568904005670,2017-06-20,Employed,Accountant,35000,420800,Savings,2014-07-30,75490317,ABVI2791,8000,Approved,,,,,,,,,Gold,220000,24,Fixed,11,2014-08-13,2016-08-13,770,98735613,Approved,Auto Debit,Gold
30,39,Onkar Sathe,M,Dandekar Hall,VishramBag,Sangli,Maharashtra,9356781270,Aadhar Card,568904005671,2016-04-08,Employed,Police,49000,588700,Current,2015-01-01,30549918,ABVI2791,7000,Approved,,,,,,,,,Bike,190000,36,Fixed,10,2015-08-22,2018-08-22,720,98735609,Approved,Check,Bike
31,27,Rupal Chougule,F,Walchand College,VishramBag,Sangli,Maharashtra,8978231795,Aadhar Card,568904005672,2017-08-01,Employed,Software,60000,723000,Savings,2015-07-07,79043319,ABVI2791,4000,Rejected,,,,,,,,,Home,3900000,120,Fixed,10,2015-12-19,2025-12-19,749,99556651,Approved,Check,Plot
32,50,Diksha Birnale,F,Dandekar Hall,VishramBag,Sangli,Maharashtra,8822447780,Aadhar Card,568904005673,2013-02-05,Employed,Civil,43000,516900,Savings,2018-12-21,37850978,ABVI2791,10000,Approved,99556619,Regular FD,190000,2019-01-22,48,9,Monthly,Savings,Business,4900340,60,Fixed,12,2020-08-06,2025-08-06,650,98735611,Approved,Check,Stock
33,35,Aditi Aadmuthe,F,Walchand College,VishramBag,Sangli,Maharashtra,6956541224,Aadhar Card,568904005674,2016-12-24,Self-Employed,Mechanical,25000,600000,Savings,2020-01-19,99556601,ABVI2791,2000,Approved,99556612,Regular FD,220000,2023-03-12,36,9,Monthly,Savings,Bike,300000,36,Fixed,10,2021-04-07,2024-04-07,760,99556640,Approved,Auto Debit,Bike
34,26,Sudesh Kamble,M,Police Line,VishramBag,Sangli,Maharashtra,9561038602,Aadhar Card,568904005675,2015-03-04,Self-Employed,Banking,70000,840600,Current,2015-03-28,99556602,ABVI2791,10000,Approved,,,,,,,,,Home,3000000,120,Fixed,10,2015-12-07,2025-12-07,800,99556641,Approved,Auto Debit,Plot
35,69,Nanasaheb Patil,M,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,9089724501,Aadhar Card,568904005676,2019-01-14,Retired,,,,Current,2021-07-14,99556604,ABVI2791,5000,Approved,45612329,Senior Citizen FD,357299,2023-01-12,60,11,Monthly,Savings,,,,,,,,,,,,
36,44,Parishita Kamble,F,Police Line,VishramBag,Sangli,Maharashtra,6489569768,Aadhar Card,568904005677,2018-11-01,Employed,Doctor,45000,549000,Current,2016-06-08,89354498,ABVI2791,3000,Approved,99556615,Regular FD,270000,2022-05-06,18,9,Monthly,Savings,Gold,400000,24,Fixed,11,2016-09-17,2018-09-17,590,99556643,Pending,Cash,Gold
37,50,Kartik Pandey,M,Kranti Bhel Corner,VishramBag,Sangli,Maharashtra,7971560290,Aadhar Card,568904005678,2014-03-08,Self-Employed,Mechanical,23000,625000,Savings,2014-11-13,99556605,ABVI2791,4000,Approved,99556609,Regular FD,500000,2020-01-01,72,9,Monthly,Savings,Business,1900000,60,Fixed,12,2016-01-30,2021-01-30,765,98735602,Approved,Auto Debit,Stock
38,65,Mala Advani,F,China Hut Corner,VishramBag,Sangli,Maharashtra,5458765453,Aadhar Card,568904005679,2017-08-27,Retired,,,,Savings,2015-01-11,93056109,ABVI2791,10000,Approved,99556614,Senior Citizen FD,444444,2021-07-02,44,11,Monthly,Current,,,,,,,,,,,,
39,33,Sandhya Shastri,F,Vishrambag Chowk,VishramBag,Sangli,Maharashtra,9861257984,Aadhar Card,568904005680,2014-07-16,Employed,Doctor,31000,585597,Savings,2017-02-20,89504870,ABVI2791,7000,Approved,45612333,Regular FD,900000,2023-09-04,20,9,Monthly,Current,Business,1100000,60,Fixed,12,2021-02-20,2026-02-20,680,99556632,Approved,Auto Debit,Stock
40,29,Sunita Kanitkar,F,Dandekar Hall,VishramBag,Sangli,Maharashtra,7865483003,Aadhar Card,568904005681,2018-12-19,Employed,Police,39000,650000,Savings,2018-04-22,90591209,ABVI2791,9000,Approved,,,,,,,,,Agricultural,720000,36,Fixed,10,2019-12-04,2022-12-04,700,98735600,Approved,Check,Land
