Serial No,Age,Name,Gender,Address,Branch,City ,State,Phone No,ID Type,ID No,ID Issue Date,Employment Status,Job Title,Monthly Income,Annual Income,Account Type,Account Opening Year and Date,Account Number,IFSC Code,Initial Deposit Amount,Application Status,FD Account Number,FD Type ,FD Amount,Deposit Date,Tenure,Interest Rate,Interest Payout Frequency,Linked Account Type ,Loan Type ,Loan Amount Requested,Loan Term,Interest Rate Type,Interest Rate Offered,Loan Start Date,Loan End Date,Credit Score,Loan Application Number,Loan Application Status,Repayment Method,Collateral Type
11,27,Raj Vagyani,M,Near Jain Mandir,Tasgaon,Tasgaon,Maharashtra,8822444050,Aadhar Card,734645005741,2009-08-01,Employed,Pharmacy,60000,720000,Savings,2016-09-13,89504854,ABTA2794,8000,Approved,,,,,,,,,,,,,,,,,,,,
12,50,Arun Kadam,M,Nandani Road,Tasgaon,Tasgaon,Maharashtra,8822444051,Aadhar Card,734646005742,2010-04-07,Self- Employed,Police,43000,516000,Savings,2017-04-05,89504855,ABTA2794,7000,Pending,45612371,Regular FD,270000,2022-05-06,36,9,Monthly,Savings,Home,900000,84,Fixed,10,2018-06-18,2025-06-18,700,98745630,Approved,Check,Plot
13,36,Tarak Mehta,M,GokulDham Colony,Tasgaon,Tasgaon,Maharashtra,8822444052,Aadhar Card,734646005743,2011-12-24,Employed,Writer,25000,600000,Savings,2018-05-20,89504856,ABTA2794,4000,Approved,,,,,,,,,Gold,200000,12,Fixed,11,2020-12-11,2021-12-11,750,98745631,Approved,Auto Debit,Gold
14,65,Shakil Kaif,M,Khan Bhag,Tasgaon,Tasgaon,Maharashtra,8822444053,Aadhar Card,734646005744,2011-03-04,Retired,,,,Current,2019-07-06,89504857,ABTA2794,10000,Approved,45612373,Senior Citizen FD,890000,2021-02-02,24,11,Monthly,Savings,,,,,,,,,,,,
15,59,Afiya Khan,F,Near Mashchid,Tasgaon,Tasgaon,Maharashtra,8822444054,Aadhar Card,734646005745,2012-01-14,Employed,Mechanical,29000,548000,Current,2016-01-24,89504858,ABTA2794,2000,Approved,45612374,Regular FD,900000,2017-09-04,24,9,Monthly,Current,Bike,300000,36,Fixed,10,2019-04-07,2022-04-07,780,98745633,Approved,Check,Bike
16,35,Hania Amir,F,Mulla Colony,Tasgaon,Tasgaon,Maharashtra,8822444055,Aadhar Card,734646005746,2010-11-01,Self- Employed,Banking,45000,540000,Current,2017-05-28,89504859,ABTA2794,10000,Approved,45612375,Regular FD,500000,2018-06-25,36,9,Monthly,Savings,Business,100000,24,Fixed,12,2024-08-06,2026-08-06,750,98745634,Approved,Check,Stock
17,50,Kedar Chivate,M,Maratha Colony,Tasgaon,Tasgaon,Maharashtra,8822444056,Aadhar Card,734646005747,2009-03-08,Employed,Farmer,23000,623000,Savings,2014-08-29,89504860,ABTA2794,5500,Approved,,,,,,,,,Agricultural,200000,36,Fixed,10,2017-11-20,2020-11-20,600,98745635,Pending,Check,Land
18,30,Suhas Kadam,M,Near Bus Stand,Tasgaon,Tasgaon,Maharashtra,8822444057,Aadhar Card,734646005748,2011-08-06,Employed,Doctor,70000,840000,Savings,2016-02-20,89504861,ABTA2794,3400,Approved,45612377,Regular FD,400000,2016-04-07,24,9,Monthly,Current,Business,540000,36,Fixed,12,2022-05-14,2025-05-14,590,98745636,Approved,Auto Debit,Stock
19,33,Yusuf Mulla,M,Mulla Colony,Tasgaon,Tasgaon,Maharashtra,8822444058,Aadhar Card,734646005749,2008-07-16,Employed,Software,31000,584530,Savings,2014-10-26,89504862,ABTA2794,20000,Approved,45612378,Regular FD,190000,2019-01-22,6,9,Monthly,Savings,Business,800000,120,Fixed,12,2014-12-20,2024-12-20,660,98745637,Approved,Cash,Stock
20,35,Fatima Qureshi,F,Mulla Colony,Tasgaon,Tasgaon,Maharashtra,8822444059,Aadhar Card,734646005750,2010-09-22,Employed,Software,39000,650000,Savings,2020-11-12,89504863,ABTA2794,15000,Approved,,,,,,,,,Car,1000000,60,Fixed,10,2021-12-10,2026-12-10,820,98745638,Approved,Auto Debit,Gold
21,67,Yakoob Shaikh,M,Mulla Colony,Tasgaon,Tasgaon,Maharashtra,8822444060,Aadhar Card,734646005751,2011-07-16,Retired,,,,Savings,2018-07-08,89504864,ABTA2794,8340,Approved,45612379,Senior Citizen FD,190000,2019-01-22,6,11,Monthly,Savings,,,,,,,,,,,,
22,35,Balasaheb Patil,M,Nandani Road,Tasgaon,Tasgaon,Maharashtra,8822444061,Aadhar Card,734646005752,2009-09-22,Self- Employed,Software,39000,650000,Savings,2014-02-22,89504865,ABTA2794,9530,Approved,45612380,Regular FD,220000,2023-03-12,11,9,Monthly,Savings,Car,1000000,60,Fixed,10,2021-12-10,2026-12-10,820,99556658,Approved,Auto Debit,Gold
